날짜,시그니처,설명,클래스,위험도,프로토콜,출발 IP,출발 포트,도착 IP,도착 포트
2026-06-03 17:38:04.320056,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,Potentially Bad Traffic,2,TCP,8.215.25.14,55869,192.168.45.3,1521
2026-06-03 17:38:06.912232,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,8.215.25.14,55869,192.168.45.3,1433
2026-06-03 17:38:29.068737,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,51301,192.168.45.3,53315
2026-06-03 17:39:37.992445,2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,Potentially Bad Traffic,2,TCP,144.172.88.96,55976,192.168.45.3,1521
2026-06-03 17:39:44.300074,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,144.172.88.96,55976,192.168.45.3,3306
2026-06-03 17:39:47.504969,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,144.172.88.96,55976,192.168.45.3,1433
2026-06-03 17:39:50.664498,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,144.172.88.96,55976,192.168.45.3,5432
2026-06-03 18:22:06.247448,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,34.97.191.184,45432,192.168.45.3,5432
2026-06-03 18:41:12.367849,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,172.104.100.117,56822,192.168.45.3,5432
2026-06-03 18:46:30.094875,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,64.89.163.133,59951,192.168.45.3,5432
2026-06-03 19:16:30.669886,2500000,ET COMPROMISED Known Compromised or Hostile Host Traffic group 1,Misc Attack,2,TCP,109.122.217.21,57177,192.168.45.3,53219
2026-06-03 19:32:51.588833,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,103.186.69.236,51937,192.168.45.3,1433
2026-06-03 19:39:01.619402,2010937,ET SCAN Suspicious inbound to mySQL port 3306,Potentially Bad Traffic,2,TCP,34.40.212.83,45432,192.168.45.3,3306
2026-06-03 19:56:56.413733,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,220.130.187.188,60872,192.168.45.3,1433
2026-06-03 19:56:58.339101,2010935,ET SCAN Suspicious inbound to MSSQL port 1433,Potentially Bad Traffic,2,TCP,195.82.4.34,51767,192.168.45.3,1433
2026-06-03 20:02:06.953678,2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,Potentially Bad Traffic,2,TCP,84.54.3.194,54084,192.168.45.3,5432
2026-06-03 20:16:08.936178,2221014,SURICATA HTTP missing Host header,Generic Protocol Command Decode,3,TCP,181.192.103.223,33664,192.168.45.3,443
2026-06-03 20:16:08.936178,2016683,ET WEB_SERVER WebShell Generic - wget http - POST,Potentially Bad Traffic,2,TCP,181.192.103.223,33664,192.168.45.3,443
2026-06-03 20:17:09.756236,2221014,SURICATA HTTP missing Host header,Generic Protocol Command Decode,3,TCP,103.161.61.77,42842,192.168.45.3,443
